exchange,timestamp,side,price,quantity
Lighter,2025-12-02T18:51:11.685072+00:00,LONG,92002.0368,0.00200
Backpack,2025-12-02T18:51:48.661466+00:00,buy,91837.3,0.00200
Lighter,2025-12-02T18:51:59.938637+00:00,SHORT,91677.9766,0.00200
Backpack,2025-12-02T18:52:02.019370+00:00,sell,91842.5,0.00200
Lighter,2025-12-02T18:52:12.796813+00:00,LONG,91984.3014,0.00200
Backpack,2025-12-02T18:56:13.819288+00:00,buy,91856.2,0.00200
Lighter,2025-12-02T18:56:25.173662+00:00,SHORT,91655.3220,0.00200
Backpack,2025-12-02T18:57:38.389254+00:00,buy,91769.3,0.00200
Lighter,2025-12-02T18:57:49.618273+00:00,SHORT,91607.9170,0.00200
Backpack,2025-12-02T18:58:05.933965+00:00,sell,91755.2,0.00200
Lighter,2025-12-02T18:58:17.623819+00:00,LONG,91911.4560,0.00200
Backpack,2025-12-02T18:58:27.278487+00:00,sell,91789.7,0.00200
Lighter,2025-12-02T18:58:38.630256+00:00,LONG,91963.2594,0.00200
Backpack,2025-12-02T19:01:08.270230+00:00,buy,91921.8,0.00200
Lighter,2025-12-02T19:01:19.484266+00:00,SHORT,91726.0802,0.00200
Backpack,2025-12-02T19:01:54.771480+00:00,sell,91973.0,0.00200
Lighter,2025-12-02T19:02:05.888623+00:00,LONG,92157.5472,0.00200
Backpack,2025-12-02T19:02:11.530683+00:00,buy,92004.4,0.00200
Lighter,2025-12-02T19:02:22.705991+00:00,SHORT,91817.1976,0.00200
Backpack,2025-12-02T19:02:30.628738+00:00,sell,92066.7,0.00200
Lighter,2025-12-02T19:02:42.034514+00:00,LONG,92245.6230,0.00200
Backpack,2025-12-02T19:05:56.599105+00:00,buy,92112.7,0.00200
Lighter,2025-12-02T19:06:07.887372+00:00,SHORT,91974.1830,0.00200
Backpack,2025-12-02T19:06:30.552827+00:00,buy,92044.6,0.00200
Lighter,2025-12-02T19:06:41.853374+00:00,SHORT,91881.0696,0.00200
Backpack,2025-12-02T19:07:25.616061+00:00,buy,92041.1,0.00200
Lighter,2025-12-02T19:07:36.972810+00:00,SHORT,91871.5886,0.00200
Backpack,2025-12-02T19:08:33.944944+00:00,sell,92015.2,0.00200
Lighter,2025-12-02T19:08:45.141638+00:00,LONG,92196.2244,0.00200
Backpack,2025-12-02T19:09:10.184560+00:00,sell,92003.2,0.00200
Lighter,2025-12-02T19:09:21.567332+00:00,LONG,92185.2024,0.00200
Backpack,2025-12-02T19:09:35.697159+00:00,sell,92030.0,0.00200
Lighter,2025-12-02T19:09:46.975416+00:00,LONG,92227.7874,0.00200
